Id,Prediction
23000,1
23001,0
23002,0
23003,0
23004,0
23005,0
23006,0
23007,0
23008,1
23009,1
23010,1
23011,0
23012,0
23013,0
23014,0
23015,0
23016,0
23017,0
23018,1
23019,1
23020,1
23021,0
23022,1
23023,1
23024,1
23025,1
23026,1
23027,1
23028,1
23029,0
23030,1
23031,1
23032,0
23033,0
23034,1
23035,1
23036,0
23037,1
23038,0
23039,1
23040,0
23041,0
23042,1
23043,0
23044,0
23045,0
23046,1
23047,0
23048,1
23049,1
23050,0
23051,0
23052,1
23053,0
23054,0
23055,0
23056,0
23057,1
23058,1
23059,1
23060,0
23061,1
23062,1
23063,1
23064,1
23065,1
23066,0
23067,0
23068,0
23069,1
23070,0
23071,0
23072,0
23073,1
23074,1
23075,1
23076,1
23077,1
23078,1
23079,0
23080,0
23081,0
23082,0
23083,0
23084,1
23085,0
23086,0
23087,0
23088,1
23089,0
23090,0
23091,1
23092,1
23093,0
23094,1
23095,1
23096,1
23097,1
23098,1
23099,0
23100,1
23101,1
23102,0
23103,1
23104,1
23105,1
23106,1
23107,0
23108,1
23109,1
23110,0
23111,0
23112,1
23113,1
23114,0
23115,0
23116,1
23117,1
23118,1
23119,0
23120,1
23121,1
23122,0
23123,1
23124,1
23125,1
23126,0
23127,1
23128,0
23129,0
23130,1
23131,0
23132,0
23133,0
23134,1
23135,1
23136,0
23137,1
23138,1
23139,1
23140,0
23141,0
23142,0
23143,0
23144,0
23145,0
23146,0
23147,0
23148,1
23149,1
23150,1
23151,1
23152,0
23153,0
23154,0
23155,1
23156,0
23157,0
23158,0
23159,0
23160,1
23161,0
23162,0
23163,1
23164,1
23165,1
23166,0
23167,0
23168,1
23169,1
23170,0
23171,0
23172,0
23173,1
23174,1
23175,0
23176,1
23177,0
23178,1
23179,0
23180,1
23181,0
23182,1
23183,0
23184,0
23185,1
23186,0
23187,0
23188,0
23189,0
23190,0
23191,0
23192,0
23193,0
23194,1
23195,1
23196,0
23197,0
23198,1
23199,1
23200,1
23201,0
23202,0
23203,1
23204,1
23205,0
23206,0
23207,0
23208,0
23209,0
23210,1
23211,1
23212,1
23213,0
23214,0
23215,0
23216,0
23217,0
23218,0
23219,0
23220,0
23221,1
23222,1
23223,1
23224,0
23225,0
23226,1
23227,1
23228,1
23229,0
23230,0
23231,1
23232,0
23233,0
23234,0
23235,0
23236,1
23237,1
23238,0
23239,1
23240,0
23241,0
23242,1
23243,1
23244,0
23245,1
23246,1
23247,1
23248,0
23249,0
23250,1
23251,1
23252,1
23253,0
23254,0
23255,0
23256,1
23257,0
23258,0
23259,0
23260,0
23261,1
23262,1
23263,1
23264,0
23265,0
23266,1
23267,1
23268,0
23269,1
23270,0
23271,0
23272,1
23273,1
23274,1
23275,1
23276,0
23277,1
23278,1
23279,1
23280,0
23281,1
23282,1
23283,1
23284,1
23285,0
23286,1
23287,0
23288,0
23289,1
23290,1
23291,1
23292,0
23293,1
23294,1
23295,1
23296,0
23297,0
23298,1
23299,0
23300,0
23301,0
23302,1
23303,1
23304,1
23305,0
23306,1
23307,1
23308,1
23309,0
23310,1
23311,0
23312,0
23313,0
23314,0
23315,0
23316,0
23317,0
23318,1
23319,1
23320,0
23321,1
23322,0
23323,0
23324,1
23325,0
23326,1
23327,1
23328,0
23329,0
23330,1
23331,1
23332,0
23333,0
23334,1
23335,1
23336,0
23337,1
23338,0
23339,1
23340,0
23341,1
23342,1
23343,0
23344,1
23345,0
23346,1
23347,0
23348,1
23349,1
23350,0
23351,0
23352,0
23353,0
23354,1
23355,0
23356,0
23357,0
23358,0
23359,0
23360,0
23361,1
23362,1
23363,0
23364,0
23365,0
23366,0
23367,0
23368,0
23369,0
23370,1
23371,0
23372,0
23373,1
23374,1
23375,0
23376,1
23377,1
23378,1
23379,1
23380,1
23381,1
23382,0
23383,1
23384,0
23385,0
23386,0
23387,0
23388,0
23389,1
23390,0
23391,1
23392,1
23393,1
23394,1
23395,0
23396,1
23397,1
23398,1
23399,0
23400,1
23401,0
23402,0
23403,1
23404,0
23405,0
23406,0
23407,1
23408,0
23409,1
23410,1
23411,1
23412,0
23413,1
23414,0
23415,1
23416,1
23417,0
23418,0
23419,1
23420,1
23421,1
23422,1
23423,1
23424,1
23425,0
23426,1
23427,1
23428,0
23429,0
23430,1
23431,0
23432,0
23433,1
23434,1
23435,1
23436,1
23437,0
23438,0
23439,0
23440,1
23441,0
23442,1
23443,1
23444,0
23445,0
23446,0
23447,1
23448,0
23449,1
23450,1
23451,1
23452,0
23453,0
23454,0
23455,0
23456,0
23457,1
23458,1
23459,1
23460,0
23461,1
23462,1
23463,0
23464,0
23465,0
23466,1
23467,1
23468,0
23469,1
23470,1
23471,0
23472,0
23473,0
23474,0
23475,1
23476,0
23477,1
23478,1
23479,0
23480,1
23481,0
23482,0
23483,0
23484,0
23485,1
23486,1
23487,0
23488,0
23489,1
23490,1
23491,0
23492,0
23493,0
23494,0
23495,1
23496,0
23497,0
23498,0
23499,1
23500,1
23501,1
23502,0
23503,1
23504,1
23505,1
23506,0
23507,1
23508,0
23509,1
23510,0
23511,0
23512,1
23513,0
23514,1
23515,1
23516,0
23517,1
23518,0
23519,1
23520,0
23521,1
23522,1
23523,0
23524,0
23525,0
23526,1
23527,1
23528,1
23529,0
23530,1
23531,0
23532,1
23533,0
23534,0
23535,0
23536,0
23537,0
23538,1
23539,1
23540,1
23541,1
23542,1
23543,1
23544,1
23545,0
23546,1
23547,1
23548,1
23549,1
23550,1
23551,0
23552,1
23553,0
23554,0
23555,0
23556,1
23557,1
23558,0
23559,1
23560,1
23561,1
23562,0
23563,1
23564,0
23565,1
23566,0
23567,0
23568,1
23569,1
23570,0
23571,1
23572,1
23573,1
23574,1
23575,1
23576,1
23577,0
23578,1
23579,1
23580,1
